SMILES,Hit
Cc1ccc(NC(=O)Cn2nc3c(N4CCOCC4)nccn3c2=O)cc1Cl,0
CCCc1ccc(S(=O)(=O)Nc2ccc3nncn3n2)cc1,0
O=C(CSc1nnc2c(=O)n(-c3ccc(F)cc3)ccn12)c1ccccc1Cl,0
CC(C)c1nnc2c(=O)n(CC(=O)Nc3cccc(F)c3)c3ccccc3n12,0
Cc1ccc(-c2ccc3nn(Cc4c(F)cccc4Cl)c(=O)n3n2)cc1,0
CCCCOc1ccc(-c2cc3c4nnc(SCC(=O)Nc5cc(C)ccc5OC)n4ccn3n2)cc1,0
CCOc1ccc(-n2ccn3c(SCC(=O)c4ccccc4)nnc3c2=O)cc1,0
COc1ccccc1N1CCN(C(=O)CSc2nnc3c(=O)n(-c4ccc(F)cc4)ccn23)CC1,0
Cc1ccc(CN(c2ccc(C(C)C)cc2)S(=O)(=O)c2cccn3cnnc23)cc1,0
COc1ccc(C(=O)CSc2nnc3c(=O)n(-c4ccc(F)c(F)c4)ccn23)cc1,0
Cc1ccc(-c2ccc3nn(CC(=O)N4CCN(c5ccccc5)CC4)c(=O)n3n2)cc1C,0
CC(C)c1nnc2c(=O)n(CC(=O)Nc3ccc(Cl)c(Cl)c3)c3ccccc3n12,0
Cc1ccc(-c2ccc3nn(Cc4cccc(F)c4)c(=O)n3n2)cc1C,0
CCCn1c(=O)c2sccc2n2c(=O)n(CC(=O)c3ccccc3)nc12,0
CC(CC(=O)Nc1ccc(F)cc1)=NNC(=O)c1cccc2ccccc12,0
COc1ccc(C(=O)N/N=C/c2cccc(Oc3ccccc3)c2)cc1,0
CCCCCCCC(O)CCC(=O)N/N=C/c1ccc(OC)c(OC)c1,0
Brc1ccc(/C=N/c2cc3ccccc3cc2/N=C/c2ccc(Br)o2)o1,0
O=C(NCc1cccnc1)c1ccc2ccccc2c1,0
O=C(Oc1cccc(Nc2cc(O)n(-c3ccccc3)c2O)c1)c1ccc([N+](=O)[O-])cc1,0
O=C(NC(CSCc1ccccc1)C(=O)N/N=C/c1ccc(Cl)cc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0
Nc1nnc(CC(=O)NN=Cc2c[nH]c3ccccc23)s1,0
CC(CC(=O)Nc1ccc(Cl)c(Cl)c1)=NNC(=O)C(=O)Nc1cccc2ccccc12,0
CC(C)c1ccc(-c2[nH]c(=S)[nH]c(=O)c2C#N)cc1,0
CCc1ccccc1NC(=O)C(=O)N/N=C/c1ccc(I)cc1,0
COc1ccccc1NCN1C(=O)S/C(=C\c2ccccc2)C1=O,0
CCOC(=O)Cc1nc2ccccc2[nH]1,0
Cc1ccc([N+](=O)[O-])cc1/C=N/NC(=O)CSc1ccccc1C,0
O=C(NC(CSCc1ccccc1)C(=O)NN=Cc1ccc(O)cc1)c1ccc([N+](=O)[O-])cc1,0
CC(CC(=O)Nc1ccc(Cl)c(Cl)c1)=NNC(=O)c1ccc(C(C)(C)C)cc1,0
CCc1ccccc1NC(=O)CC(C)=NNC(=O)C(=O)Nc1ccccc1,0
Cc1ccccc1NC(=O)C(=O)N/N=C/c1ccccc1F,0
CC(CC(=O)Nc1ccc(Cl)c(Cl)c1)=NNC(=O)c1ccc(C)cc1,0
Cc1ccc(C=NNC(=O)c2ccccc2)o1,0
O=[N+]([O-])C=C(c1ccccc1)c1ccccc1,0
O=C(Nc1nnc(-c2ccccc2)s1)C(F)(F)F,0
COC(=O)CCC(=O)Nc1ccccc1Br,0
COc1ccc(/C=N/NC(=O)Cc2cccc3ccccc23)cc1OC,0
CCN(CC)c1ccc(/C=N/NC(=O)COc2ccc(C)c(C)c2)cc1,0
CC(NC(=O)C(=O)NN=Cc1cc(Br)ccc1O)c1ccccc1,1
Cc1ccc(NS(=O)(=O)c2ccc(N=Cc3c(C)[nH]n(-c4ccc(C)c(C)c4)c3=O)cc2)cc1C,0
COC(=O)C1=C(C)OC(=N)C(C#N)C1c1ccc(Cl)cc1,0
COc1ccccc1/C=N/NC(=O)CSc1nc2ccccc2o1,0
O=C(CSc1nnc2c(=O)n(-c3ccc(Br)cc3)ccn12)Nc1cccc(F)c1,0
N#CCn1nc2n(Cc3ccccc3)c(=O)c3ccc(C(=O)NC4CCCCC4)cc3n2c1=O,0
COc1cccc(CNC(=O)CSc2nnc3ccc(C(=O)Nc4cccc(F)c4)cn23)c1,0
O=C(Cn1nc2c(Oc3ccccc3)nccn2c1=O)Nc1ccc2c(c1)OCO2,0
Cc1cccc(NC(=O)Cn2nc3c4cc(-c5ccc(Cl)cc5)nn4ccn3c2=O)c1C,0
COc1ccccc1/N=C/c1ccc(OC(=O)c2ccccc2)c([N+](=O)[O-])c1,0
O=C(/C=C/c1ccccc1)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)c1,0
COc1ccc(NC(=O)C(=O)NN=Cc2ccc(C(=O)O)cc2)cc1,0
COc1ccc(C)cc1NC(=O)CC(C)=NNC(=O)c1ccc(Cl)cc1,0
Cc1ccc(S(=O)(=O)N/N=C/c2ccc(OC(=O)c3ccccc3)c([N+](=O)[O-])c2)cc1,0
Clc1sc(/C=N/c2ccc(Nc3ccccc3)cc2)c(Cl)c1Cl,0
Cc1cccc(-n2[nH]c(C)c(C=NNC(=O)c3cccc([N+](=O)[O-])c3)c2=O)c1,0
Cc1ccc(NC(=O)CCC(=O)OC2CCC(C(C)(C)C)CC2)cc1,0
